25225201
3
1 2 0.27 0
4 2 0.27 0
5 0 0.27 0
1 69 0.71 2618437 2629462
0 52 0.71 2623949 2634974
1 69 0.71 2629462 2640487
0 49 0.71 2634974 2645999
1 69 0.71 2640487 2645999
0 50 0.71 2645999 2668049
0 62 0.71 2668049 2673562
0 65 0.71 2673562 2679074
0 70 0.71 2679074 2684587
0 65 0.71 2684587 2690099
0 60 0.71 2690099 2695612
0 64 0.71 2695612 2701124
0 69 0.71 2701124 2706637
0 64 0.71 2706637 2712149
1 58 0.71 2712149 2717662
0 62 0.71 2717662 2723174
0 67 0.71 2723174 2728687
0 62 0.71 2728687 2734199
1 57 0.71 2734199 2739712
0 61 0.71 2739712 2745224
0 64 0.71 2745224 2750737
0 69 0.71 2750737 2756249
0 62 0.71 2756249 2767274
0 65 0.71 2767274 2778299
0 70 0.71 2767274 2778299
2 50 0.71 2756249 2778299
1 57 0.71 2778299 2789324
0 69 0.71 2789324 2800349
0 64 0.71 2789324 2800349
2 48 0.71 2778299 2800349
1 58 0.71 2800349 2811374
0 62 0.71 2811374 2822399
0 67 0.71 2811374 2822399
2 46 0.71 2800349 2822399
0 64 0.71 2822399 2844449
0 69 0.71 2822399 2844449
0 61 0.71 2822399 2844449
1 52 0.71 2822399 2844449
2 45 0.71 2822399 2844449
0 62 0.71 2844449 2849962
0 65 0.71 2849962 2855474
0 70 0.71 2855474 2860987
0 65 0.71 2860987 2866499
0 60 0.71 2866499 2872012
0 64 0.71 2872012 2877524
0 69 0.71 2877524 2883037
0 64 0.71 2883037 2888549
1 58 0.71 2888549 2894062
0 62 0.71 2894062 2899574
0 67 0.71 2899574 2905087
0 62 0.71 2905087 2910599
1 57 0.71 2910599 2916112
0 61 0.71 2916112 2921624
0 64 0.71 2921624 2927137
0 69 0.71 2927137 2932649
0 62 0.71 2932649 2943674
0 70 0.71 2943674 2954699
0 65 0.71 2943674 2954699
2 50 0.71 2932649 2954699
1 57 0.71 2954699 2965724
0 69 0.71 2965724 2976749
0 64 0.71 2965724 2976749
2 48 0.71 2954699 2976749
1 58 0.71 2976749 2987774
0 67 0.71 2987774 2998799
0 62 0.71 2987774 2998799
2 46 0.71 2976749 2998799
0 61 0.71 2998799 3042899
0 64 0.71 2998799 3042899
1 52 0.71 2998799 3042899
2 45 0.71 2998799 3042899
0 69 0.71 2998799 3048412
0 67 0.71 3048412 3053924
0 65 0.71 3053924 3059437
0 64 0.71 3059437 3064949
0 62 0.71 3064949 3070462
0 61 0.71 3070462 3075974
0 59 0.71 3075974 3081487
0 61 0.71 3081487 3086999
0 57 0.71 3086999 3092512
0 59 0.71 3092512 3098024
0 61 0.71 3098024 3103537
0 62 0.71 3103537 3109049
0 64 0.71 3109049 3114562
0 65 0.71 3114562 3120074
0 67 0.71 3120074 3125587
0 69 0.71 3125587 3131099
0 67 0.71 3131099 3136612
0 65 0.71 3136612 3142124
0 64 0.71 3142124 3147637
0 65 0.71 3147637 3153149
0 62 0.71 3153149 3158662
0 65 0.71 3158662 3164174
0 69 0.71 3164174 3169687
0 73 0.71 3169687 3175199
0 74 0.71 3175199 3180712
0 69 0.71 3180712 3186224
0 71 0.71 3186224 3191737
0 73 0.71 3191737 3197249
0 74 0.71 3197249 3202762
0 76 0.71 3202762 3208274
0 77 0.71 3208274 3211031
0 79 0.71 3211031 3213787
0 81 0.71 3213787 3219299
0 82 0.71 3219299 3241349
0 74 0.71 3241349 3252374
0 82 0.71 3252374 3263399
0 77 0.71 3252374 3263399
2 50 0.71 3241349 3263399
0 69 0.71 3263399 3274424
0 81 0.71 3274424 3285449
0 76 0.71 3274424 3285449
2 48 0.71 3263399 3285449
0 70 0.71 3285449 3296474
0 79 0.71 3296474 3307499
0 74 0.71 3296474 3307499
2 46 0.71 3285449 3307499
0 64 0.71 3307499 3329549
0 73 0.71 3307499 3329549
0 81 0.71 3307499 3329549
0 76 0.71 3307499 3329549
2 45 0.71 3307499 3329549
0 74 0.71 3329549 3335062
0 77 0.71 3335062 3340574
0 82 0.71 3340574 3346087
0 77 0.71 3346087 3351599
0 72 0.71 3351599 3357112
0 76 0.71 3357112 3362624
0 81 0.71 3362624 3368137
0 76 0.71 3368137 3373649
0 70 0.71 3373649 3379162
0 74 0.71 3379162 3384674
0 79 0.71 3384674 3390187
0 74 0.71 3390187 3395699
0 69 0.71 3395699 3401212
0 73 0.71 3401212 3406724
0 76 0.71 3406724 3412237
0 81 0.71 3412237 3417749
0 74 0.71 3417749 3428774
0 82 0.71 3428774 3439799
0 77 0.71 3428774 3439799
2 50 0.71 3417749 3439799
0 69 0.71 3439799 3450824
0 81 0.71 3450824 3461849
0 76 0.71 3450824 3461849
2 48 0.71 3439799 3461849
0 70 0.71 3461849 3472874
0 79 0.71 3472874 3483899
0 74 0.71 3472874 3483899
2 46 0.71 3461849 3483899
0 73 0.71 3483899 3505949
0 76 0.71 3483899 3505949
0 64 0.71 3483899 3505949
0 81 0.71 3483899 3505949
2 45 0.71 3483899 3505949
0 71 0.71 3505949 3527999
0 65 0.71 3505949 3527999
1 62 0.71 3505949 3527999
1 59 0.71 3505949 3527999
2 44 0.71 3505949 3527999
0 73 0.71 3527999 3561074
0 69 0.71 3527999 3572099
0 71 0.71 3561074 3572099
1 57 0.71 3527999 3572099
1 64 0.71 3527999 3572099
2 43 0.71 3527999 3572099
0 69 0.71 3572099 3583124
0 73 0.71 3583124 3594149
0 76 0.71 3594149 3599662
0 79 0.71 3599662 3605174
0 82 0.71 3605174 3616199
0 81 0.71 3616199 3621712
0 79 0.71 3621712 3627224
0 77 0.71 3627224 3632737
0 76 0.71 3632737 3638249
0 77 0.71 3638249 3643762
0 76 0.71 3643762 3649274
0 74 0.71 3649274 3654787
0 73 0.71 3654787 3660299
0 74 0.71 3660299 3665812
0 72 0.71 3665812 3671324
0 70 0.71 3671324 3676837
0 69 0.71 3676837 3682349
0 67 0.71 3682349 3687862
0 65 0.71 3687862 3693374
0 64 0.71 3693374 3698887
0 62 0.71 3698887 3704399
0 76 0.71 3704399 3792599
0 70 0.71 3704399 3792599
1 61 0.71 3704399 3792599
1 67 0.71 3704399 3792599
2 55 0.71 3704399 3792599
0 73 0.71 3704399 3799949
1 64 0.71 3704399 3799949
0 76 0.71 3799949 3807299
1 67 0.71 3799949 3807299
0 73 0.71 3807299 3814649
1 64 0.71 3807299 3814649
0 70 0.71 3814649 3821999
1 61 0.71 3814649 3821999
0 73 0.71 3821999 3829350
1 64 0.71 3821999 3829350
0 70 0.71 3829350 3836700
1 61 0.71 3829350 3836700
0 73 0.71 3836700 3844050
1 64 0.71 3836700 3844050
0 76 0.71 3844050 3851400
1 67 0.71 3844050 3851400
0 73 0.71 3851400 3858750
1 64 0.71 3851400 3858750
0 70 0.71 3858750 3866100
1 61 0.71 3858750 3866100
0 73 0.71 3866100 3873450
1 64 0.71 3866100 3873450
0 70 0.71 3873450 3880800
1 61 0.71 3873450 3880800
0 73 0.71 3880800 3888150
1 64 0.71 3880800 3888150
0 76 0.71 3888150 3895500
1 67 0.71 3888150 3895500
0 73 0.71 3895500 3902850
1 64 0.71 3895500 3902850
0 70 0.71 3902850 3910200
1 61 0.71 3902850 3910200
0 73 0.71 3910200 3917550
1 64 0.71 3910200 3917550
0 70 0.71 3917550 3924900
1 61 0.71 3917550 3924900
0 73 0.71 3924900 3932250
1 64 0.71 3924900 3932250
0 76 0.71 3932250 3939600
1 67 0.71 3932250 3939600
0 73 0.71 3939600 3946950
1 64 0.71 3939600 3946950
0 70 0.71 3946950 3954300
1 61 0.71 3946950 3954300
0 73 0.71 3954300 3961650
1 64 0.71 3954300 3961650
0 70 0.71 3961650 3969000
1 61 0.71 3961650 3969000
0 67 0.71 3969000 3976350
1 58 0.71 3969000 3976350
0 70 0.71 3976350 3983700
1 61 0.71 3976350 3983700
0 67 0.71 3983700 3991050
1 58 0.71 3983700 3991050
0 64 0.71 3991050 3998400
1 55 0.71 3991050 3998400
0 67 0.71 3998400 4005750
1 58 0.71 3998400 4005750
0 64 0.71 4005750 4013100
1 55 0.71 4005750 4013100
0 67 0.71 4013100 4020450
1 58 0.71 4013100 4020450
0 70 0.71 4020450 4027800
1 61 0.71 4020450 4027800
0 67 0.71 4027800 4035150
1 58 0.71 4027800 4035150
0 64 0.71 4035150 4042500
1 55 0.71 4035150 4042500
0 67 0.71 4042500 4049850
1 58 0.71 4042500 4049850
0 70 0.71 4049850 4057200
1 55 0.71 4049850 4057200
0 67 0.71 4057200 4064550
1 58 0.71 4057200 4064550
0 70 0.71 4064550 4071900
1 61 0.71 4064550 4071900
0 67 0.71 4071900 4079250
1 58 0.71 4071900 4079250
0 64 0.71 4079250 4086600
1 55 0.71 4079250 4086600
0 67 0.71 4086600 4093950
1 58 0.71 4086600 4093950
0 64 0.71 4093950 4101300
1 55 0.71 4093950 4101300
0 67 0.71 4101300 4108650
1 58 0.71 4101300 4108650
0 70 0.71 4108650 4116000
1 61 0.71 4108650 4116000
0 67 0.71 4116000 4123350
1 58 0.71 4116000 4123350
0 64 0.71 4123350 4130700
1 55 0.71 4123350 4130700
0 67 0.71 4130700 4138050
1 58 0.71 4130700 4138050
0 64 0.71 4138050 4145400
1 55 0.71 4138050 4145400
0 61 0.71 4145400 4152750
1 52 0.71 4145400 4152750
0 64 0.71 4152750 4160100
1 55 0.71 4152750 4160100
0 61 0.71 4160100 4167450
1 52 0.71 4160100 4167450
0 58 0.71 4167450 4174800
1 49 0.71 4167450 4174800
0 61 0.71 4174800 4182150
1 52 0.71 4174800 4182150
0 58 0.71 4182150 4189500
1 49 0.71 4182150 4189500
0 61 0.71 4189500 4196850
1 52 0.71 4189500 4196850
0 64 0.71 4196850 4204200
1 55 0.71 4196850 4204200
0 61 0.71 4204200 4211550
1 52 0.71 4204200 4211550
0 58 0.71 4211550 4218900
1 49 0.71 4211550 4218900
0 61 0.71 4218900 4226250
1 52 0.71 4218900 4226250
0 58 0.71 4226250 4233600
1 49 0.71 4226250 4233600
0 61 0.71 4233600 4240950
1 52 0.71 4233600 4240950
0 64 0.71 4240950 4248300
