3969001
2
4 2 0.4 0.02
5 0 0.4 0.02
0 78 0.63 1411199 1455254
0 61 0.5 1447949 1455254
1 70 0.63 1411199 1455254
1 78 0.63 1411199 1455254
0 64 0.5 1455299 1477304
0 82 0.5 1477349 1499354
1 72 0.63 1477349 1499354
1 75 0.63 1477349 1499354
1 78 0.63 1477349 1499354
1 40 0.63 1411199 1499354
0 81 0.5 1499399 1521404
0 53 0.63 1499399 1521404
0 65 0.5 1499399 1521404
1 72 0.63 1499399 1521404
1 77 0.63 1499399 1521404
0 41 0.5 1521449 1528754
0 53 0.5 1521449 1528754
0 41 0.5 1528799 1536104
0 53 0.5 1528799 1536104
0 77 0.5 1521449 1543454
0 41 0.5 1536149 1543454
0 53 0.5 1536149 1543454
1 69 0.63 1521449 1543454
1 72 0.63 1521449 1543454
0 41 0.5 1543499 1565504
0 53 0.5 1543499 1565504
0 77 0.5 1565549 1587554
1 69 0.63 1565549 1587554
1 72 0.63 1565549 1587554
1 53 0.5 1543499 1587554
0 40 0.63 1587599 1594904
0 46 0.5 1594949 1602254
0 49 0.5 1602299 1609604
0 52 0.5 1609649 1616954
0 58 0.5 1616999 1624304
0 78 0.63 1587599 1631654
0 61 0.5 1624349 1631654
1 70 0.63 1587599 1631654
1 78 0.63 1587599 1631654
0 64 0.5 1631699 1653704
0 82 0.5 1653749 1675754
1 72 0.63 1653749 1675754
1 75 0.63 1653749 1675754
1 78 0.63 1653749 1675754
1 40 0.63 1587599 1675754
0 81 0.5 1675799 1697804
0 53 0.63 1675799 1697804
0 65 0.5 1675799 1697804
1 72 0.63 1675799 1697804
1 77 0.63 1675799 1697804
0 41 0.5 1697849 1705154
0 53 0.5 1697849 1705154
0 41 0.5 1705199 1712504
0 53 0.5 1705199 1712504
0 77 0.5 1697849 1719854
0 41 0.5 1712549 1719854
0 53 0.5 1712549 1719854
1 69 0.63 1697849 1719854
1 72 0.63 1697849 1719854
0 41 0.5 1719899 1741904
0 53 0.5 1719899 1741904
0 74 0.5 1741949 1763954
1 69 0.63 1741949 1763954
1 72 0.63 1741949 1763954
1 53 0.5 1719899 1763954
0 47 0.63 1763999 1786004
0 59 0.5 1763999 1786004
0 47 0.5 1786049 1793354
0 59 0.5 1786049 1793354
0 47 0.5 1793399 1800704
0 59 0.5 1793399 1800704
0 75 0.63 1763999 1808054
0 46 0.5 1800749 1808054
0 58 0.5 1800749 1808054
1 66 0.63 1763999 1808054
1 75 0.63 1763999 1808054
0 47 0.5 1808099 1830104
0 59 0.5 1808099 1830104
0 47 0.5 1830149 1837454
0 59 0.5 1830149 1837454
0 47 0.5 1837499 1844804
0 59 0.5 1837499 1844804
0 78 0.5 1830149 1852154
0 47 0.5 1844849 1852154
0 59 0.5 1844849 1852154
1 71 0.63 1830149 1852154
1 75 0.63 1830149 1852154
1 47 0.5 1844849 1852154
0 77 0.5 1852199 1874204
0 46 0.63 1852199 1874204
0 58 0.5 1852199 1874204
1 70 0.63 1852199 1874204
1 74 0.63 1852199 1874204
0 46 0.5 1874249 1881554
0 58 0.5 1874249 1881554
0 46 0.5 1881599 1888904
0 58 0.5 1881599 1888904
0 73 0.63 1874249 1896254
0 44 0.5 1888949 1896254
0 56 0.5 1888949 1896254
1 65 0.63 1874249 1896254
1 73 0.63 1874249 1896254
0 46 0.5 1896299 1918304
0 58 0.5 1896299 1918304
0 46 0.5 1918349 1925654
0 58 0.5 1918349 1925654
0 46 0.5 1925699 1933004
0 58 0.5 1925699 1933004
0 70 0.5 1918349 1940354
0 46 0.5 1933049 1940354
0 58 0.5 1933049 1940354
1 61 0.63 1918349 1940354
1 65 0.63 1918349 1940354
1 46 0.5 1933049 1940354
0 72 0.63 1940399 1951379
0 72 0.5 1951424 1956891
0 74 0.5 1956937 1962404
0 48 0.63 1940399 1962404
0 60 0.5 1940399 1962404
1 64 0.63 1940399 1962404
1 72 0.5 1951424 1962404
0 48 0.5 1962449 1969754
0 60 0.5 1962449 1969754
1 64 0.63 1962449 1973429
0 48 0.5 1969799 1977104
0 60 0.5 1969799 1977104
1 64 0.63 1973474 1978941
0 76 0.5 1962449 1984454
0 47 0.5 1977149 1984454
0 59 0.5 1977149 1984454
1 65 0.63 1978987 1984454
1 67 0.63 1984499 1995479
1 67 0.63 1995524 2000991
0 48 0.5 1984499 2006504
0 60 0.5 1984499 2006504
1 69 0.63 2001037 2006504
0 48 0.5 2006549 2013854
0 60 0.5 2006549 2013854
1 70 0.63 2006549 2017529
0 48 0.5 2013899 2021204
0 60 0.5 2013899 2021204
0 79 0.5 2006549 2028554
0 48 0.5 2021249 2028554
0 60 0.5 2021249 2028554
1 72 0.63 2017574 2028554
1 48 0.5 2021249 2028554
0 77 0.5 2028599 2039579
1 69 0.63 2028599 2039579
0 65 0.5 2039624 2045091
1 57 0.63 2039624 2045091
0 65 0.5 2045137 2050604
0 41 0.63 2028599 2050604
0 53 0.5 2028599 2050604
1 57 0.63 2045137 2050604
0 65 0.5 2050649 2061629
1 57 0.63 2050649 2061629
0 65 0.5 2061674 2067141
1 57 0.63 2061674 2067141
0 65 0.5 2067187 2072654
0 41 0.5 2050649 2072654
0 53 0.5 2050649 2072654
1 57 0.63 2067187 2072654
0 65 0.5 2072699 2083679
1 57 0.63 2072699 2083679
0 65 0.5 2083724 2089191
1 57 0.63 2083724 2089191
0 65 0.5 2089237 2094704
0 41 0.5 2072699 2094704
0 53 0.5 2072699 2094704
1 57 0.63 2089237 2094704
0 65 0.5 2094749 2105729
0 43 0.5 2094749 2105729
0 55 0.5 2094749 2105729
1 57 0.63 2094749 2105729
0 65 0.5 2105774 2116754
0 45 0.5 2105774 2116754
0 57 0.63 2105774 2116754
1 57 0.63 2105774 2116754
1 41 0.5 2072699 2116754
0 70 0.5 2116799 2138804
0 46 0.63 2116799 2138804
0 58 0.5 2116799 2138804
1 62 0.63 2116799 2138804
0 46 0.5 2138849 2146154
0 58 0.5 2138849 2146154
1 62 0.63 2138849 2146154
0 46 0.5 2146199 2153504
0 58 0.5 2146199 2153504
1 62 0.63 2146199 2153504
0 44 0.5 2153549 2160854
0 56 0.5 2153549 2160854
1 60 0.63 2153549 2160854
0 65 0.5 2138849 2177391
1 62 0.63 2160899 2177391
0 70 0.5 2177437 2182904
0 46 0.5 2160899 2182904
0 58 0.5 2160899 2182904
1 62 0.63 2177437 2182904
0 70 0.5 2182949 2188416
1 62 0.63 2182949 2188416
0 72 0.5 2188462 2193929
1 63 0.63 2188462 2193929
0 74 0.5 2193974 2199441
1 65 0.63 2193974 2199441
0 75 0.5 2199487 2204954
0 46 0.5 2182949 2204954
0 58 0.5 2182949 2204954
1 67 0.63 2199487 2204954
